Language,Matrix Size,Time
Java,600,0.229621837
Java,600,0.261478253
Java,600,0.229792877
Java,600,0.228643138
Java,600,0.240960468
Java,600,0.225660634
Java,600,0.225148702
Java,600,0.239565986
Java,600,0.226158733
Java,600,0.227917072
Java,1000,1.715670352
Java,1000,1.664616821
Java,1000,1.675100879
Java,1000,1.724023096
Java,1000,1.698518733
Java,1000,1.689436968
Java,1000,1.721212113
Java,1000,1.672624568
Java,1000,1.652617449
Java,1000,1.705001611
Java,1400,4.774486924
Java,1400,4.721744619
Java,1400,4.773471289
Java,1400,4.780915234
Java,1400,4.683225312
Java,1400,4.684919739
Java,1400,4.669196754
Java,1400,4.690360144
Java,1400,4.676294458
Java,1400,4.696968999
Java,1800,19.982188009
Java,1800,20.296283147
Java,1800,21.147301246
Java,1800,19.656578999
Java,1800,20.438029491
Java,1800,19.756620466
Java,1800,19.715160668
Java,1800,19.673366415
Java,1800,19.621086544
Java,1800,20.018064881
Java,2200,42.165819045
Java,2200,42.359418272
Java,2200,42.676724088
Java,2200,42.868649537
Java,2200,42.44834531
Java,2200,42.404730343
Java,2200,42.299443799
Java,2200,42.461749911
Java,2200,41.67242676
Java,2200,42.491708771
Java,2600,74.933367355
Java,2600,75.06831581
Java,2600,74.902462971
Java,2600,77.025467696
Java,2600,75.188284067
Java,2600,74.459319735
Java,2600,75.01710248
Java,2600,75.179181009
Java,2600,75.353526251
Java,2600,75.572980097
Java,3000,124.079537579
Java,3000,122.223020833
Java,3000,122.98277305
Java,3000,123.357373484
Java,3000,122.416612337
Java,3000,122.280528298
Java,3000,123.052165017
Java,3000,123.879355671
Java,3000,123.800020894
Java,3000,125.04295574
