Language,Matrix Size,Time,L1 DCM,L2 DCM,TOT INS,TOT CYC
C++,600,0.110871,27109429,57550942,1735590390,453801990
C++,600,0.121237,27133469,55983265,1735590395,502236893
C++,600,0.127986,27154489,57344145,1735590263,523541364
C++,600,0.116031,27119254,55281061,1735590389,480740575
C++,600,0.170059,27130989,54063780,1735590280,659312134
C++,600,0.118242,27110899,55210422,1735590387,481912498
C++,600,0.116316,27113326,57052048,1735590382,478579171
C++,600,0.117536,27115726,57152680,1735590380,483178546
C++,600,0.118929,27112955,55744698,1735590406,484161652
C++,600,0.115934,27114430,55707352,1735590387,481516285
C++,1000,0.530914,125722798,263436141,8021044115,2233085212
C++,1000,0.528658,125767387,257112530,8021044114,2219896582
C++,1000,0.528253,125681409,253938099,8021044121,2223114807
C++,1000,0.516762,125682857,257265002,8021044105,2183793328
C++,1000,0.521174,125690926,263556533,8021044108,2200508812
C++,1000,0.514978,125698069,254343832,8021044104,2182933254
C++,1000,0.527454,125646654,264368056,8021044115,2216436140
C++,1000,0.524826,125686987,254070712,8021044119,2216005490
C++,1000,0.518378,125668805,263525024,8021044105,2196235857
C++,1000,0.523194,125674864,256864615,8021044108,2206941326
C++,1400,1.72068,346539467,699130186,21993220040,7187866348
C++,1400,1.67133,346305119,707390963,21993219770,7100232742
C++,1400,1.6847,346112870,696061038,21993219782,7131360199
C++,1400,1.72949,346319252,694823900,21993219822,7225473079
C++,1400,1.68257,346059552,715331182,21993219796,7151960193
C++,1400,1.68098,345986547,698040502,21993219840,7141335014
C++,1400,1.72277,346058793,694574176,21993219783,7210633099
C++,1400,1.68541,346136922,703560865,21993219812,7116073369
C++,1400,1.68805,346034738,696218486,21993219804,7122642345
C++,1400,1.71515,346343421,698429537,21993219805,7178269179
C++,1800,3.66062,746775213,1474469616,46724117790,15510216900
C++,1800,3.69107,747014669,1466671544,46724117796,15575863580
C++,1800,3.7005,745879217,1465426265,46724118056,15572571285
C++,1800,3.70013,746260264,1468707551,46724117782,15588164832
C++,1800,3.69213,745982364,1507217586,46724117799,15617772343
C++,1800,3.68612,746117323,1469766791,46724117798,15562334723
C++,1800,3.73601,747396044,1504006937,46724117829,15725385391
C++,1800,3.71935,745426647,1503696153,46724117825,15681914066
C++,1800,3.65314,745776685,1469573399,46724118089,15512290960
C++,1800,3.76417,749435538,1477449861,46724117838,15791836460
C++,2200,6.77061,2079382423,2651095192,85285737921,28712504031
C++,2200,6.81164,2078754531,2668850584,85285737940,28695425160
C++,2200,6.77065,2077677912,2652395432,85285737943,28653506135
C++,2200,6.87252,2078813609,2731518709,85285737945,28916668389
C++,2200,6.76389,2077583701,2652135848,85285737939,28625406759
C++,2200,6.79563,2079171197,2669243571,85285737953,28724776676
C++,2200,6.81846,2079612681,2652371448,85285738471,28759911416
C++,2200,6.76186,2077694153,2651802028,85285737922,28672271722
C++,2200,6.84449,2077852452,2730565770,85285737961,28869309860
C++,2200,6.85429,2082378731,2723133870,85285737946,29010902143
C++,2600,11.2838,4413690826,4390586449,140750081133,47564325774
C++,2600,11.2146,4413615460,4339022076,140750081090,47525412037
C++,2600,11.2589,4413607132,4349184129,140750081554,47538357277
C++,2600,11.2346,4413629116,4342045706,140750081105,47551736842
C++,2600,11.2283,4413625286,4337968939,140750081086,47514320537
C++,2600,11.3123,4413698357,4413271055,140750081099,47719084156
C++,2600,11.2289,4413628395,4339682262,140750081102,47547727786
C++,2600,11.3168,4413608474,4483806668,140750081135,47979503031
C++,2600,11.2263,4413754454,4380382133,140750081127,47512827190
C++,2600,11.2658,4413626569,4336636417,140750081102,47578713001
C++,3000,17.2616,6780855508,6672651631,216189146664,73031199055
C++,3000,17.3392,6780814365,6885989880,216189145817,73679331062
C++,3000,17.2531,6780985780,6666024899,216189147158,72948392463
C++,3000,17.2215,6780927007,6654495829,216189145757,73046888704
C++,3000,17.3472,6780818191,6885633074,216189145784,73577293663
C++,3000,17.274,6780937448,6671239220,216189147010,72957584508
C++,3000,17.2307,6780922767,6725094279,216189145764,72973208352
C++,3000,17.3453,6780831438,6888199575,216189145764,73688753535
C++,3000,17.2757,6780949273,6671199573,216189146102,72983906711
C++,3000,17.4148,6780763889,6884891346,216189145816,73611521872
